Hà Giang,16/10/2022,13:44,30°,Mây cụm,38%,10 km,2.54 km/giờ,7.8,Kém
Cao Bằng,16/10/2022,13:44,30°,Mây thưa,40%,10 km,4.11 km/giờ,5.77,Rất kém
Bắc Kạn,16/10/2022,13:44,30°,Bầu trời quang đãng,36%,10 km,2.54 km/giờ,7.88,Rất kém
Tuyên Quang,16/10/2022,13:44,31°,Mây thưa,35%,10 km,2.44 km/giờ,5.8,Rất kém
Thái Nguyên,16/10/2022,13:44,31°,Bầu trời quang đãng,32%,10 km,4.24 km/giờ,0,Rất kém
Lạng Sơn,16/10/2022,13:44,28°,Mây cụm,40%,10 km,5.81 km/giờ,0,Rất kém
Quảng Ninh,16/10/2022,13:44,31°,Bầu trời quang đãng,32%,10 km,2.43 km/giờ,5.71,Rất kém
Bắc Giang,16/10/2022,13:44,31°,Bầu trời quang đãng,32%,10 km,7.06 km/giờ,5.8,Rất kém
Phú Thọ,16/10/2022,13:44,32°,Bầu trời quang đãng,35%,10 km,3.77 km/giờ,7.99,Rất kém
Lào Cai,16/10/2022,13:44,32°,Mây cụm,36%,10 km,1.85 km/giờ,8.5,Kém
Điện Biên,16/10/2022,13:44,30°,Nhiều mây,38%,10 km,1.76 km/giờ,6.63,Rất kém
Lai Châu,16/10/2022,13:44,30°,Nhiều mây,41%,10 km,1.44 km/giờ,0,Kém
Sơn La,16/10/2022,13:44,28°,Mây cụm,46%,10 km,0.3 km/giờ,8.55,Rất kém
Yên Bái,16/10/2022,13:44,31°,Bầu trời quang đãng,41%,10 km,2.71 km/giờ,8.03,Rất kém
Hoà Bình,16/10/2022,13:44,30°,Bầu trời quang đãng,43%,10 km,2.97 km/giờ,0,Rất kém
Hà Nội,16/10/2022,13:44,31°,Bầu trời quang đãng,37%,10 km,3.6 km/giờ,7.94,Rất kém
Vĩnh Phúc,16/10/2022,13:44,31°,Mây thưa,33%,10 km,2.8 km/giờ,0,Rất kém
Bắc Ninh,16/10/2022,13:44,31°,Mây rải rác,31%,10 km,6.82 km/giờ,0,Rất kém
Hải Dương,16/10/2022,13:44,31°,Bầu trời quang đãng,35%,10 km,6.68 km/giờ,0,Rất kém
Hải Phòng,16/10/2022,13:44,31°,Bầu trời quang đãng,33%,10 km,4.63 km/giờ,7.97,Rất kém
Hưng Yên,16/10/2022,13:44,31°,Bầu trời quang đãng,34%,10 km,5.84 km/giờ,0,Rất kém
Thái Bình,16/10/2022,13:44,30°,Bầu trời quang đãng,38%,10 km,6.68 km/giờ,8.09,Rất kém
Hà Nam,16/10/2022,13:44,31°,Bầu trời quang đãng,34%,10 km,5.8 km/giờ,5.91,Rất kém
Nam Định,16/10/2022,13:44,30°,Bầu trời quang đãng,37%,10 km,6.27 km/giờ,5.84,Rất kém
Ninh Bình,16/10/2022,13:44,30°,Bầu trời quang đãng,37%,10 km,5.91 km/giờ,0,Rất kém
Thanh Hóa,16/10/2022,13:44,30°,Bầu trời quang đãng,40%,10 km,5.86 km/giờ,0,Rất kém
Nghệ An,16/10/2022,13:44,28°,Mây cụm,50%,10 km,5.47 km/giờ,8.07,Rất kém
Hà Tĩnh,16/10/2022,13:44,27°,Mây cụm,55%,10 km,5.29 km/giờ,0,Rất kém
Quảng Bình,16/10/2022,13:44,27°,Mây cụm,57%,10 km,4.66 km/giờ,0,Rất kém
Quảng Trị,16/10/2022,13:44,27°,Mây cụm,73%,10 km,5.46 km/giờ,0,Rất kém
Thừa Thiên Huế,16/10/2022,13:44,25°,Mây cụm,88%,8 km,3.09 km/giờ,2.85,Rất kém
Đà Nẵng,16/10/2022,13:44,29°,Mây rải rác,70%,10 km,6.69 km/giờ,7.71,Rất kém
Quảng Nam,16/10/2022,13:44,25°,Nhiều mây,86%,10 km,3.62 km/giờ,0,Rất kém
Quảng Ngãi,16/10/2022,13:44,25°,Nhiều mây,92%,10 km,3.13 km/giờ,0,Kém
Bình Định,16/10/2022,13:44,27°,Nhiều mây,85%,10 km,5.16 km/giờ,0,Tốt
Phú Yên,16/10/2022,13:44,28°,Nhiều mây,74%,10 km,2.64 km/giờ,0,Khá
Khánh Hòa,16/10/2022,13:44,31°,Nhiều mây,70%,10 km,2.96 km/giờ,0,Tốt
Ninh Thuận,16/10/2022,13:44,29°,Nhiều mây,69%,10 km,3.81 km/giờ,6.4,Khá
Bình Thuận,16/10/2022,13:44,30°,Nhiều mây,56%,10 km,3.36 km/giờ,0,Kém
Kon Tum,16/10/2022,13:44,28°,Mây rải rác,71%,10 km,0.7 km/giờ,0,Tốt
Gia Lai,16/10/2022,13:44,25°,Nhiều mây,88%,8.48 km,2.16 km/giờ,0,Tốt
Đắk Lắk,16/10/2022,13:44,28°,Nhiều mây,61%,10 km,0.9 km/giờ,0,Khá
Đắk Nông,16/10/2022,13:44,28°,Nhiều mây,61%,10 km,0.9 km/giờ,0,Khá
Lâm Đồng,16/10/2022,13:44,26°,Nhiều mây,67%,10 km,2.26 km/giờ,0,Tốt
Bình Phước,16/10/2022,13:44,30°,Mây rải rác,58%,10 km,2.76 km/giờ,0,Khá
Tây Ninh,16/10/2022,13:44,29°,Mây rải rác,62%,10 km,2.65 km/giờ,9.77,Kém
Bình Dương,16/10/2022,13:44,33°,Mây rải rác,52%,10 km,3.09 km/giờ,10.14,Kém
Đồng Nai,16/10/2022,13:44,33°,Nhiều mây,64%,10 km,2.73 km/giờ,0,Kém
Bà Rịa - Vũng Tàu,16/10/2022,13:44,30°,Mây cụm,57%,10 km,2.82 km/giờ,0,Kém
Hồ Chí Minh,16/10/2022,13:44,33°,Mây rải rác,52%,10 km,3.09 km/giờ,10.14,Kém
Long An,16/10/2022,13:44,30°,Nhiều mây,59%,10 km,2.53 km/giờ,0,Kém
Tiền Giang,16/10/2022,13:44,30°,Mây cụm,58%,10 km,2.29 km/giờ,0,Kém
Bến Tre,16/10/2022,13:44,30°,Mây cụm,57%,10 km,2.26 km/giờ,10.32,Kém
Trà Vinh,16/10/2022,13:44,30°,Mây cụm,58%,10 km,2.21 km/giờ,0,Kém
Vĩnh Long,16/10/2022,13:44,30°,Mây cụm,57%,10 km,2.41 km/giờ,0,Kém
Đồng Tháp,16/10/2022,13:44,30°,Mây cụm,56%,10 km,2.62 km/giờ,7.17,Kém
An Giang,16/10/2022,13:44,30°,Mây cụm,55%,10 km,2.33 km/giờ,6.09,Kém
Kiên Giang,16/10/2022,13:44,29°,Mây cụm,63%,10 km,1.9 km/giờ,0,Rất kém
Cần Thơ,16/10/2022,13:44,30°,Mây thưa,62%,10 km,2.06 km/giờ,10.42,Rất kém
Hậu Giang,16/10/2022,13:44,30°,Nhiều mây,65%,10 km,1.73 km/giờ,7.78,Rất kém
Sóc Trăng,16/10/2022,13:44,29°,Nhiều mây,63%,10 km,1.49 km/giờ,10.47,Rất kém
Bạc Liêu,16/10/2022,13:44,28°,Nhiều mây,67%,10 km,0.59 km/giờ,0,Rất kém
Cà Mau,16/10/2022,13:44,29°,Nhiều mây,68%,10 km,1.01 km/giờ,5.35,Kém
