Hà Nội,2022-10-03,07:00:00,25,Sương mờ,94,4.0,14.83,0,
Hà Giang,2022-10-03,07:00:00,23,Mây đen u ám,99,10.0,0.9,0,Tốt
Cao Bằng,2022-10-03,07:00:00,23,Mây rải rác,97,10.0,1.19,0.4,Khá
Bắc Kạn,2022-10-03,07:00:00,23,Mây rải rác,99,10.0,2.92,0,Khá
Tuyên Quang,2022-10-03,07:00:00,23,Mây rải rác,99,10.0,2.12,0,Tốt
Lào Cai,2022-10-03,07:00:00,23,Mây đen u ám,100,7.25,0.79,0,Tốt
Điện Biên,2022-10-03,07:00:00,22,Mây đen u ám,99,10.0,3.17,0,Tốt
Lai Châu,2022-10-03,07:00:00,23,Mây đen u ám,99,10.0,2.05,0.1,Khá
Sơn La,2022-10-03,07:00:00,21,Mây đen u ám,99,10.0,2.74,0,Tốt
Yên Bái,2022-10-03,07:00:00,24,Mây cụm,96,10.0,1.55,0,Khá
Hoà Bình,2022-10-03,07:00:00,24,Mây rải rác,96,10.0,2.84,0.32,Rất kém
Thái Nguyên,2022-10-03,07:00:00,25,Mây thưa,97,10.0,4.28,0,Kém
Lạng Sơn,2022-10-03,07:00:00,23,Mây thưa,95,10.0,3.49,0.45,Khá
Quảng Ninh,2022-10-03,07:00:00,24,Mây rải rác,93,10.0,3.06,0,Khá
Bắc Giang,2022-10-03,07:00:00,25,Mây thưa,90,10.0,5.08,0,Rất kém
Phú Thọ,2022-10-03,07:00:00,24,Mây cụm,95,10.0,3.78,0,Trung bình
Vĩnh Phúc,2022-10-03,07:00:00,25,Mây thưa,93,10.0,4.32,0,Rất kém
Bắc Ninh,2022-10-03,07:00:00,25,Mây thưa,96,10.0,5.94,0,Rất kém
Hải Dương,2022-10-03,07:00:00,25,Mây thưa,92,10.0,6.19,0.42,Kém
Hải Phòng,2022-10-03,07:00:00,25,Mây thưa,100,10.0,9.25,0,Khá
Hưng Yên,2022-10-03,07:00:00,24,Mây thưa,93,10.0,6.37,0,Rất kém
Thái Bình,2022-10-03,07:00:00,25,Mây thưa,91,10.0,8.82,0,Rất kém
Hà Nam,2022-10-03,07:00:00,24,Mây thưa,93,10.0,6.3,0,Rất kém
Nam Định,2022-10-03,07:00:00,24,Mây thưa,92,10.0,8.1,0,Rất kém
Ninh Bình,2022-10-03,07:00:00,24,Bầu trời quang đãng,96,10.0,7.45,0,Kém
Thanh Hóa,2022-10-03,07:00:00,24,Mây rải rác,93,10.0,6.91,0,Trung bình
Nghệ An,2022-10-03,07:00:00,25,Mưa nhẹ,91,10.0,7.02,0.22,Tốt
Hà Tĩnh,2022-10-03,07:00:00,25,Mây đen u ám,92,10.0,5.22,0,Tốt
Quảng Bình,2022-10-03,07:00:00,26,Mây đen u ám,86,10.0,1.98,0.47,Tốt
Quảng Trị,2022-10-03,07:00:00,25,Mây đen u ám,94,10.0,2.27,0,Khá
Thừa Thiên Huế,2022-10-03,07:00:00,25,Mây rải rác,94,10.0,3.71,0,Tốt
Đà Nẵng,2022-10-03,07:00:00,25,Mây rải rác,94,8.0,0.0,0,Tốt
Quảng Nam,2022-10-03,07:00:00,25,Mây đen u ám,91,10.0,4.46,0,Khá
Quảng Ngãi,2022-10-03,07:00:00,25,Mây cụm,88,10.0,4.82,0.66,Kém
Bình Định,2022-10-03,07:00:00,25,Mây đen u ám,88,10.0,8.53,0,Tốt
Phú Yên,2022-10-03,07:00:00,26,Mây đen u ám,91,10.0,5.04,0,Tốt
Khánh Hòa,2022-10-03,07:00:00,25,Mây đen u ám,91,10.0,7.92,0,Tốt
Ninh Thuận,2022-10-03,07:00:00,25,Mây đen u ám,86,10.0,7.34,0,Khá
Bình Thuận,2022-10-03,07:00:00,26,Mây đen u ám,88,10.0,7.6,0,Khá
Kon Tum,2022-10-03,07:00:00,21,Mây đen u ám,97,10.0,3.35,0,Tốt
Gia Lai,2022-10-03,07:00:00,21,Mây đen u ám,98,10.0,4.07,0,Tốt
Đắk Lắk,2022-10-03,07:00:00,21,Mây đen u ám,95,10.0,7.38,0,Tốt
Đắk Nông,2022-10-03,07:00:00,21,Mây đen u ám,95,10.0,7.38,0,Tốt
Lâm Đồng,2022-10-03,07:00:00,20,Mây đen u ám,97,10.0,5.44,0,Tốt
Bình Phước,2022-10-03,07:00:00,24,Mưa nhẹ,94,10.0,5.36,0.47,Tốt
Tây Ninh,2022-10-03,07:00:00,25,Mây đen u ám,89,10.0,5.65,0,Rất kém
Bình Dương,2022-10-03,07:00:00,25,Mây đen u ám,89,10.0,5.65,0,Rất kém
Đồng Nai,2022-10-03,07:00:00,26,Mây đen u ám,94,10.0,7.13,0,Khá
Bà Rịa - Vũng Tàu,2022-10-03,07:00:00,25,Mây đen u ám,94,10.0,6.23,0,Tốt
Hồ Chí Minh,2022-10-03,07:00:00,26,Mây cụm,94,10.0,7.42,0,Kém
Long An,2022-10-03,07:00:00,25,Mây đen u ám,89,10.0,5.83,0.52,Kém
Tiền Giang,2022-10-03,07:00:00,25,Mây đen u ám,95,10.0,4.25,0,Kém
Bến Tre,2022-10-03,07:00:00,26,Mây đen u ám,94,10.0,4.46,0,Kém
Trà Vinh,2022-10-03,07:00:00,26,Mây đen u ám,91,10.0,6.44,0,Kém
Vĩnh Long,2022-10-03,07:00:00,26,Mây đen u ám,93,10.0,5.9,0,Rất kém
Đồng Tháp,2022-10-03,07:00:00,26,Mưa vừa,85,10.0,8.28,0.47,Kém
An Giang,2022-10-03,07:00:00,26,Mây đen u ám,88,10.0,7.63,0,Kém
Kiên Giang,2022-10-03,07:00:00,26,Mây đen u ám,87,10.0,8.5,0,Khá
Cần Thơ,2022-10-03,07:00:00,26,Mây đen u ám,88,10.0,6.7,0.46,Kém
Hậu Giang,2022-10-03,07:00:00,26,Mây đen u ám,92,10.0,7.7,0,Khá
Sóc Trăng,2022-10-03,07:00:00,26,Mây đen u ám,90,10.0,6.08,0,Kém
Bạc Liêu,2022-10-03,07:00:00,26,Mây đen u ám,85,10.0,9.43,0,Khá
Cà Mau,2022-10-03,07:00:00,26,Mưa nhẹ,88,10.0,6.3,0,Tốt
Hà Nội,2022-10-03,08:00:00,25,Mây cụm,94,10.0,7.42,1.66,Rất kém
Hà Giang,2022-10-03,08:00:00,24,Mây cụm,94,10.0,0.97,0,Tốt
Cao Bằng,2022-10-03,08:00:00,25,Mây thưa,91,10.0,0.18,0,Khá
Bắc Kạn,2022-10-03,08:00:00,25,Mây thưa,90,10.0,1.62,0,Kém
Tuyên Quang,2022-10-03,08:00:00,24,Mây rải rác,99,10.0,1.44,0,Khá
