Name,Date,Time,Temperature,Description,Low/high,Humidity,Vision,Wind,UV index,Air quality
Hà Giang,11/09/2022,09:15,28°,Nhiều mây,21°/31°,72%,10 km,0.41 km/giờ,4.58,Tốt
Cao Bằng,11/09/2022,09:15,23°,Mưa nhẹ,21°/28°,97%,10 km,0.88 km/giờ,2.46,Tốt
Bắc Kạn,11/09/2022,09:15,26°,Mưa nhẹ,22°/29°,94%,6.36 km,0.06 km/giờ,4.68,Tốt
Tuyên Quang,11/09/2022,09:15,26°,Mây cụm,22°/29°,89%,10 km,0.44 km/giờ,4.78,Khá
Thái Nguyên,11/09/2022,09:15,28°,Mưa cường độ nặng,23°/32°,83%,10 km,0.37 km/giờ,4.8,Kém
Lạng Sơn,11/09/2022,09:15,27°,Mưa nhẹ,22°/30°,74%,10 km,1.16 km/giờ,4.47,Trung bình
Quảng Ninh,11/09/2022,09:15,29°,Nhiều mây,24°/33°,74%,10 km,0.95 km/giờ,5.19,Kém
Bắc Giang,11/09/2022,09:15,28°,Mưa nhẹ,24°/32°,73%,10 km,0.19 km/giờ,4.99,Kém
Phú Thọ,11/09/2022,09:15,27°,Nhiều mây,23°/32°,85%,10 km,1.25 km/giờ,1.47,Khá
Lào Cai,11/09/2022,09:15,27°,Mây cụm,22°/32°,85%,10 km,0.35 km/giờ,2.43,Tốt
Điện Biên,11/09/2022,09:15,24°,Mưa vừa,20°/29°,88%,10 km,0.4 km/giờ,2.2,Tốt
Lai Châu,11/09/2022,09:15,27°,Nhiều mây,22°/29°,75%,10 km,0.31 km/giờ,2.22,Tốt
Sơn La,11/09/2022,09:15,24°,Nhiều mây,19°/28°,85%,10 km,0.53 km/giờ,4.59,Tốt
Yên Bái,11/09/2022,09:15,26°,Nhiều mây,23°/30°,87%,9.92 km,0.82 km/giờ,4.54,Khá
Hoà Bình,11/09/2022,09:15,29°,Mây rải rác,24°/31°,78%,10 km,0.29 km/giờ,4.79,Kém
Hà Nội,11/09/2022,09:15,28°,Mây rải rác,24°/33°,83%,8 km,2.57 km/giờ,4.43,Rất kém
Vĩnh Phúc,11/09/2022,09:15,28°,Mưa vừa,23°/32°,80%,10 km,0.18 km/giờ,4.43,Kém
Bắc Ninh,11/09/2022,09:15,28°,Mây cụm,24°/33°,73%,10 km,0.29 km/giờ,4.99,Rất kém
